"dwc.preparations","freq"
"Dry Osteological Specimen; Glycerin with Cartilage Stain",10
"Jar Label; Jar Label",10
"Acetate; Polyester; Radiograph Note Paper",9
"Alcohol; Radiograph",9
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",9
"Glycerin with Cartilage Stain; Glycerin with Bone Stain",9
"Photograph; Radiograph; Illustration",9
"Radiograph; Illustration; Photograph",9
"Larvae; Larvae",8
"Dry Osteological Specimen; Dry Osteological Specimen",7
"Dry Osteological Specimen; Glycerin with Cartilage Stain; Alcohol",7
"Glycerin with Bone Stain; Scanning Electron Microphotograph",7
"Glycerin with Cartilage Stain; Photograph",7
"Photograph; Illustration",7
"radiograph",7
"Alcohol; Photograph",6
"Dry Osteological Specimen; Glycerin with Bone and Cartilage Stain",6
"Glycerin with Bone and Cartilage Stain; Alcohol",6
"Illustration; Jar Label",6
"Ledger Image",6
"Polyester; Acetate; Radiograph Note Paper",6
"Polyester; Polyester",6
"Radiograph; Photograph; Radiograph",6
"Radiograph; Radiograph",6
"transparency",6
"Transparency; Photograph",6
"Dry Osteological Specimen; Illustration; Alcohol",5
"Dry Osteological Specimen; Radiograph",5
"Dry Osteological Specimen; Unknown",5
"Glycerin with Bone and Cartilage Stain; Photograph",5
"Glycerin with Cartilage Stain; Glycerin with Nerve Stain",5
"Glycerin, Triple stained",5
"Hardcopy photograph on file; Photograph",5
"Illustration; Photograph; Photograph",5
"Photograph; Illustration; Radiograph",5
"Radiograph Note Paper",5
"Acetate; Acetate; Radiograph Note Paper; Radiograph Note Paper",4
"Alcohol; Hardcopy photograph on file",4
"Alcohol; Illustration",4
"Dry Osteological Specimen; Ledger Image; Specimen Notes",4
"Dry Osteological Specimen; Specimen Notes; Ledger Image",4
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",4
"Glycerin with Bone and Cartilage Stain; Hardcopy photograph on file",4
"Glycerin with Cartilage Stain; Dry Osteological Specimen",4
"Photograph; Radiograph; Photograph",4
"Photograph; Radiograph; Radiograph",4
"Transmission Electron Microphotograph; Histological Slide",4
"Unknown; Dry Osteological Specimen",4
"Dry Osteological Specimen; Alcohol; Alcohol",3
"Dry Osteological Specimen; Alcohol; Specimen Notes",3
"Dry Osteological Specimen; Radiograph; Specimen Notes",3
"Glycerin with Bone and Cartilage Stain; Radiograph; Illustration",3
"Glycerin with Bone Stain; Illustration; Radiograph",3
"Glycerin with Cartilage Stain; Hardcopy photograph on file",3
"Glycerin with Cartilage Stain; Radiograph; Illustration",3
"Illustration; Illustration",3
"Larvae; ETOH FIXED",3
"Radiograph; Photograph; Illustration",3
"Radiograph; Radiograph; Photograph",3
"Acetate; Acetate",2
"Alcohol; Digital photograph on file",2
"ETOH FIXED; Larvae",2
"Glycerin with Bone and Cartilage Stain; Histological Slide",2
"Glycerin with Bone Stain; Glycerin with Bone and Cartilage Stain; Radiograph",2
"Glycerin with Bone Stain; Hardcopy photograph on file",2
"Glycerin with Bone Stain; Radiograph; Dry Osteological Specimen",2
"Glycerin with Bone Stain; Radiograph; Illustration",2
"Glycerin with Cartilage Stain; Histological Slide",2
"Glycerin with Nerve Stain; Photograph",2
"Hardcopy photograph on file; Otolith",2
"Histological Slide; Hardcopy photograph on file",2
"Histological Slide; Histological Slide",2
"Photograph; Glycerin with Bone and Cartilage Stain",2
"Photograph; Histological Slide",2
"Photograph; Photograph",2
"photograph; Radiograph",2
"Radiograph; Dry Osteological Specimen",2
"Radiograph; Glycerin with Bone and Cartilage Stain",2
"Radiograph; Photograph; Radiograph; Illustration; Radiograph",2
"Scanning Electron Microphotograph; alcohol",2
"Scanning Electron Microphotograph; Alcohol",2
"Scanning Electron Microphotograph; Radiograph",2
"Skin",2
"Transparency sleeve; Transparency; Jar Label",2
"Transparency; Transparency sleeve; Jar Label",2
"Wet Osteological Specimen; Radiograph",2
"Acetate; Acetate; Radiograph Note Paper",1
"alcohol",1
"Alcohol; Alcohol",1
"Alcohol; Glycerin with Bone and Cartilage Stain",1
"Alcohol; Glycerin with Bone Stain",1
"Cast",1
"Cast; Illustration",1
"Digital photograph on file; Glycerin with Bone and Cartilage Stain",1
"Digital photograph on file; Otolith",1
"Dry Osteological Specimen; Alcohol; Illustration; Specimen Notes",1
"Dry Osteological Specimen; Alcohol; Photograph",1
"Dry Osteological Specimen; Glycerin with Bone and Cartilage Stain; Alcohol",1
"Dry Osteological Specimen; Hardcopy photograph on file; Specimen Notes",1
"Dry Osteological Specimen; Illustration; Radiograph",1
"Dry Osteological Specimen; Ledger Image; Photograph",1
"Dry Osteological Specimen; Otolith; Radiograph",1
"Dry Osteological Specimen; Radiograph; Illustration",1
"Dry Osteological Specimen; Radiograph; Photograph",1
"Dry Osteological Specimen; Specimen Notes; Photograph",1
"Dry Osteological Specimen; Transparency; Alcohol",1
"Dry Osteological Specimen; Unknown; Specimen Notes",1
"ETOH FIXED; Glycerin with Bone Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Alcohol",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Illustration",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Scanning Electron Microphotograph",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone Stain; Glycerin with Nerve Stain; Glycerin with Nerve Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Cartilage Stain; Glycerin with Bone Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Nerve Stain",1
"Glycerin with Bone and Cartilage Stain; Radiograph; Photograph",1
"Glycerin with Bone Stain; Alcohol; Radiograph",1
"Glycerin with Bone Stain; Dry Osteological Specimen",1
"Glycerin with Bone Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Bone Stain; Glycerin with Bone Stain; Radiograph",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Illustration",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Radiograph",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Scanning Electron Microphotograph",1
"Glycerin with Bone Stain; Glycerin with Nerve Stain",1
"Glycerin with Bone Stain; Illustration; Dry Osteological Specimen",1
"Glycerin with Bone Stain; Illustration; Radiograph; Illustration",1
"Glycerin with Bone Stain; Jar Label",1
"Glycerin with Bone Stain; Photograph; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Bone Stain; Photograph; Radiograph",1
"Glycerin with Bone Stain; Scanning Electron Microphotograph; Glycerin with Cartilage Stain",1
"Glycerin with Bone Stain; Transparency",1
"Glycerin with Bone Stain; Unknown",1
"Glycerin with Bone Stain; Wet Osteological Specimen; Alcohol",1
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone Stain; Glycerin with Nerve Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain; Radiograph",1
"Glycerin with Cartilage Stain; Glycerin with Bone Stain; Dry Osteological Specimen",1
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain; Radiograph",1
"Glycerin with Cartilage Stain; Glycerin, Triple stained",1
"Glycerin with Cartilage Stain; Radiograph; Alcohol",1
"Glycerin with Cartilage Stain; Scanning Electron Microscope Stub",1
"Glycerin with Nerve Stain; Glycerin with Bone Stain",1
"Glycerin with Nerve Stain; Glycerin with Nerve Stain; Glycerin with Nerve Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Nerve Stain; Radiograph",1
"Glycerin with Nerve Stain; Scanning Electron Microphotograph",1
"Hardcopy photograph on file; Illustration",1
"Hardcopy photograph on file; Radiograph",1
"Histological Slide; Histological Slide; Histological Slide",1
"Histological Slide; Radiograph",1
"Illustration; Alcohol",1
"Illustration; Photograph; radiograph",1
"Illustration; Photograph; Radiograph; Radiograph",1
"Illustration; Specimen Notes",1
"Illustration; Transparency sleeve; Transparency",1
"Jar label",1
"Model; Transparency; Transparency; Print; Print",1
"Photograph; Dry Osteological Specimen",1
"Photograph; Tissue sample",1
"Photograph; Transparency",1
"polyester",1
"polyester; Radiograph Note Paper",1
"Polyester; Radiograph Note Paper; Radiograph Note Paper",1
"Radiograph; Illustration; Photograph; Radiograph; Photograph",1
"Radiograph; Illustration; Photograph; Radiograph; Radiograph",1
"Radiograph; Illustration; Radiograph; Photograph",1
"Radiograph; Photograph; Radiograph; Illustration",1
"Radiograph; Photograph; Radiograph; Radiograph",1
"Radiograph; Scanning Electron Microphotograph",1
"Radiograph; Unknown",1
"Tissue sample; ETOH FIXED",1
"Transparency sleeve; Transparency",1
"Transparency; Jar Label; Radiograph",1
"transparency; Photograph",1
"Transparency; Transparency sleeve; Photograph; Field Notes",1
"Unknown; Photograph",1
"Unknown; Scanning Electron Microphotograph; Histological Slide",1
"Wet Osteological Specimen; Alcohol",1
